date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-08-20T13:00:00Z,2,Stade de Reims,Clermont Foot,2,0,1,0,2,Stade de Reims,Clermont Foot,Romain Lissorgue
2023-08-20T17:00:00Z,2,Monaco,Strasbourg,3,0,2,0,3,Monaco,Strasbourg,Ruddy Buquet
2023-08-20T18:45:00Z,2,RC Lens,Stade Rennais,1,1,1,0,0,DRAW,DRAW,Benoît Millot
2023-08-25T19:00:00Z,3,Nantes,Monaco,3,3,2,1,0,DRAW,DRAW,Jérémie Pignard
2023-08-26T17:00:00Z,3,Marseille,Brest,2,0,1,0,2,Marseille,Brest,Jeremy Stinat
2023-08-26T19:00:00Z,3,PSG,RC Lens,3,1,1,0,2,PSG,RC Lens,François Letexier
2023-08-27T11:00:00Z,3,Stade Rennais,Le Havre,2,2,2,1,0,DRAW,DRAW,Eric Wattellier
2023-08-27T13:00:00Z,3,Clermont Foot,FC Metz,0,1,0,0,1,FC Metz,Clermont Foot,Gaël Angoula
2023-08-27T13:00:00Z,3,Montpellier,Stade de Reims,1,3,1,2,2,Stade de Reims,Montpellier,Marc Bollengier
2023-08-27T13:00:00Z,3,Strasbourg,Toulouse,2,0,0,0,2,Strasbourg,Toulouse,Benoît Bastien
2023-08-27T15:05:00Z,3,Lorient,Lille,4,1,2,0,3,Lorient,Lille,Willy Delajod
2023-08-27T18:45:00Z,3,Nice,Olympique Lyon,0,0,0,0,0,DRAW,DRAW,Bastien Dechepy
2023-09-01T19:00:00Z,4,Nantes,Marseille,1,1,1,1,0,DRAW,DRAW,Ruddy Buquet
2023-09-02T15:00:00Z,4,Brest,Stade Rennais,0,0,0,0,0,DRAW,DRAW,Hakim Ben El Hadj Salem
2023-09-02T19:00:00Z,4,Monaco,RC Lens,3,0,2,0,3,Monaco,RC Lens,Willy Delajod
2023-09-03T11:00:00Z,4,Toulouse,Clermont Foot,2,2,2,1,0,DRAW,DRAW,Florent Batta
2023-09-03T13:00:00Z,4,Le Havre,Lorient,3,0,0,0,3,Le Havre,Lorient,Romain Lissorgue
2023-09-03T13:00:00Z,4,FC Metz,Stade de Reims,2,2,1,1,0,DRAW,DRAW,Mathieu Vernice
2023-09-03T13:00:00Z,4,Lille,Montpellier,1,0,1,0,1,Lille,Montpellier,Benoît Millot
2023-09-03T15:05:00Z,4,Nice,Strasbourg,2,0,1,0,2,Nice,Strasbourg,Jeremy Stinat
2023-09-03T18:45:00Z,4,Olympique Lyon,PSG,1,4,0,4,3,PSG,Olympique Lyon,Eric Wattellier
2023-09-15T19:00:00Z,5,PSG,Nice,2,3,1,1,1,Nice,PSG,Clément Turpin
2023-09-16T15:00:00Z,5,Stade Rennais,Lille,2,2,0,1,0,DRAW,DRAW,Jérôme Brisard
2023-09-16T19:00:00Z,5,RC Lens,FC Metz,0,1,0,1,1,FC Metz,RC Lens,Stéphanie Frappart
2023-09-17T11:00:00Z,5,Lorient,Monaco,2,2,1,1,0,DRAW,DRAW,Marc Bollengier
2023-09-17T13:00:00Z,5,Clermont Foot,Nantes,0,1,0,0,1,Nantes,Clermont Foot,Thomas Léonard
2023-09-17T13:00:00Z,5,Strasbourg,Montpellier,2,2,0,2,0,DRAW,DRAW,Pierre Gaillouste
2023-09-17T13:00:00Z,5,Stade de Reims,Brest,1,2,1,0,1,Brest,Stade de Reims,Gaël Angoula
2023-09-17T15:05:00Z,5,Marseille,Toulouse,0,0,0,0,0,DRAW,DRAW,François Letexier
2023-09-17T18:45:00Z,5,Olympique Lyon,Le Havre,0,0,0,0,0,DRAW,DRAW,Benoît Bastien
2023-09-22T19:00:00Z,6,Monaco,Nice,0,1,0,0,1,Nice,Monaco,Benoît Millot
2023-09-23T15:00:00Z,6,Nantes,Lorient,5,3,1,1,2,Nantes,Lorient,Florent Batta
2023-09-23T19:00:00Z,6,Brest,Olympique Lyon,1,0,0,0,1,Brest,Olympique Lyon,Thomas Léonard
2023-09-24T11:00:00Z,6,FC Metz,Strasbourg,0,1,0,0,1,Strasbourg,FC Metz,Clément Turpin
2023-09-24T13:00:00Z,6,Le Havre,Clermont Foot,2,1,2,1,1,Le Havre,Clermont Foot,Mathieu Vernice
2023-09-24T13:00:00Z,6,RC Lens,Toulouse,2,1,1,1,1,RC Lens,Toulouse,Hakim Ben El Hadj Salem
2023-09-24T15:05:00Z,6,Montpellier,Stade Rennais,0,0,0,0,0,DRAW,DRAW,Stéphanie Frappart
2023-09-24T18:45:00Z,6,PSG,Marseille,4,0,2,0,4,PSG,Marseille,Willy Delajod
2023-09-26T19:00:00Z,6,Lille,Stade de Reims,1,2,0,2,1,Stade de Reims,Lille,Eric Wattellier
2023-09-29T19:00:00Z,7,Strasbourg,RC Lens,0,1,0,1,1,RC Lens,Strasbourg,Eric Wattellier
2023-09-30T15:00:00Z,7,Clermont Foot,PSG,0,0,0,0,0,DRAW,DRAW,Marc Bollengier
2023-09-30T19:00:00Z,7,Monaco,Marseille,3,2,2,2,1,Monaco,Marseille,Benoît Bastien
2023-10-01T11:00:00Z,7,Stade de Reims,Olympique Lyon,2,0,1,0,2,Stade de Reims,Olympique Lyon,François Letexier
2023-10-01T13:00:00Z,7,Le Havre,Lille,0,2,0,1,2,Lille,Le Havre,Bastien Dechepy
2023-10-01T13:00:00Z,7,Toulouse,FC Metz,3,0,2,0,3,Toulouse,FC Metz,Gaël Angoula
